CENTC	Mexico	10259	2018-07-18	21	8.00	10	0.3	
CENTC	Mexico	10259	2018-07-18	37	20.80	1	0.3	
MAGAA	Italy	10275	2018-08-07	24	3.60	12	0.05	
MAGAA	Italy	10275	2018-08-07	59	44.00	6	0.05	
TORTU	Mexico	10276	2018-08-08	10	24.80	15	0.3	
TORTU	Mexico	10276	2018-08-08	13	4.80	10	0.3	
ROMEY	Spain	10281	2018-08-14	19	7.30	1	0.3	
ROMEY	Spain	10281	2018-08-14	24	3.60	6	0.3	
ROMEY	Spain	10281	2018-08-14	35	14.40	4	0.3	
ROMEY	Spain	10282	2018-08-15	30	20.70	6	0.3	
ROMEY	Spain	10282	2018-08-15	57	15.60	2	0.3	
REGGC	Italy	10288	2018-08-23	54	5.90	10	0.1	
REGGC	Italy	10288	2018-08-23	68	10.00	3	0.1	
TORTU	Mexico	10293	2018-08-29	18	50.00	12	0.3	
TORTU	Mexico	10293	2018-08-29	24	3.60	10	0.3	
TORTU	Mexico	10293	2018-08-29	63	35.10	5	0.3	
TORTU	Mexico	10293	2018-08-29	75	6.20	6	0.3	
MAGAA	Italy	10300	2018-09-09	66	13.60	30	0.3	
MAGAA	Italy	10300	2018-09-09	68	10.00	20	0.3	
GODOS	Spain	10303	2018-09-11	40	14.70	40	0.1	
GODOS	Spain	10303	2018-09-11	65	16.80	30	0.1	
GODOS	Spain	10303	2018-09-11	68	10.00	15	0.1	
TORTU	Mexico	10304	2018-09-12	49	16.00	30	0.3	
TORTU	Mexico	10304	2018-09-12	59	44.00	10	0.3	
TORTU	Mexico	10304	2018-09-12	71	17.20	2	0.3	
ROMEY	Spain	10306	2018-09-16	30	20.70	10	0.3	
ROMEY	Spain	10306	2018-09-16	53	26.20	10	0.3	
ROMEY	Spain	10306	2018-09-16	54	5.90	5	0.3	
ANATR	Mexico	10308	2018-09-18	69	28.80	1	0.3	
ANATR	Mexico	10308	2018-09-18	70	12.00	5	0.3	
